project,file,LOC,Cyclomatic_Complexity,Maintainability_Index,Pylint_Score,PEP8_Violations,Security_Issues
django,python_projects\django\django\conf\locale\en_IE\formats.py,37,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\en_IE\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\eo\formats.py,44,0.0,0.0,9.29,1,0
django,python_projects\django\django\conf\locale\eo\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\es\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es_AR\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\es_AR\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es_CO\formats.py,26,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\es_CO\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es_MX\formats.py,26,0.0,0.0,9.23,1,0
django,python_projects\django\django\conf\locale\es_MX\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es_NI\formats.py,26,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\es_NI\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\es_PR\formats.py,27,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\es_PR\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\et\formats.py,21,0.0,0.0,8.33,0,0
django,python_projects\django\django\conf\locale\et\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\eu\formats.py,21,0.0,0.0,9.09,0,0
django,python_projects\django\django\conf\locale\eu\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fa\formats.py,21,0.0,0.0,4.0,0,1
django,python_projects\django\django\conf\locale\fa\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fi\formats.py,36,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\fi\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fr\formats.py,27,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\fr\__init__.py,0,0.0,0.0,0.0,0,0
