Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7501794687724336,0.6697965571205008,0.7575221238938054,0.7109634551495017
Random Forest,0.8198133524766691,0.8284518828451883,0.7008849557522124,0.7593480345158198
XGBoost,0.8226848528356066,0.8285123966942148,0.7097345132743362,0.7645376549094376
LightGBM,0.8248384781048098,0.8322981366459627,0.7115044247787611,0.767175572519084
